date,close,cash,shares,position_value,equity
2024-10-18,1085.0,1000000.0,0,0.0,1000000.0
2024-10-21,1085.0,1000000.0,0,0.0,1000000.0
2024-10-22,1075.0,1000000.0,0,0.0,1000000.0
2024-10-23,1060.0,1000000.0,0,0.0,1000000.0
2024-10-24,1060.0,1000000.0,0,0.0,1000000.0
2024-10-25,1065.0,1000000.0,0,0.0,1000000.0
2024-10-28,1050.0,1000000.0,0,0.0,1000000.0
2024-10-29,1040.0,1000000.0,0,0.0,1000000.0
2024-10-30,1030.0,1000000.0,0,0.0,1000000.0
2024-11-01,1025.0,1000000.0,0,0.0,1000000.0
2024-11-04,1040.0,1000000.0,0,0.0,1000000.0
2024-11-05,1050.0,1000000.0,0,0.0,1000000.0
2024-11-06,1060.0,1000000.0,0,0.0,1000000.0
2024-11-07,1065.0,1000000.0,0,0.0,1000000.0
2024-11-08,1090.0,1000000.0,0,0.0,1000000.0
2024-11-11,1085.0,1000000.0,0,0.0,1000000.0
2024-11-12,1050.0,1000000.0,0,0.0,1000000.0
2024-11-13,1035.0,1000000.0,0,0.0,1000000.0
2024-11-14,1035.0,1000000.0,0,0.0,1000000.0
2024-11-15,1035.0,1000000.0,0,0.0,1000000.0
2024-11-18,1025.0,1000000.0,0,0.0,1000000.0
2024-11-19,1040.0,1000000.0,0,0.0,1000000.0
2024-11-20,1025.0,1000000.0,0,0.0,1000000.0
2024-11-21,1010.0,1000000.0,0,0.0,1000000.0
2024-11-22,1040.0,1000000.0,0,0.0,1000000.0
2024-11-25,1030.0,1000000.0,0,0.0,1000000.0
2024-11-26,1010.0,1000000.0,0,0.0,1000000.0
2024-11-27,1000.0,1000000.0,0,0.0,1000000.0
2024-11-28,1005.0,1000000.0,0,0.0,1000000.0
2024-11-29,996.0,1000000.0,0,0.0,1000000.0
2024-12-02,1035.0,1000000.0,0,0.0,1000000.0
2024-12-03,1055.0,1000000.0,0,0.0,1000000.0
2024-12-04,1070.0,1000000.0,0,0.0,1000000.0
2024-12-05,1075.0,1000000.0,0,0.0,1000000.0
2024-12-06,1065.0,1000000.0,0,0.0,1000000.0
2024-12-09,1075.0,1000000.0,0,0.0,1000000.0
