code,sector,name
088585,Unknown,佳必琪統一56購01
088586,Unknown,聯茂統一59購01
088587,Unknown,台郡統一55購02
088588,Unknown,連加統一59購01
088589,Unknown,東哥統一57購03
088590,Unknown,世紀鋼統一57購02
088591,Unknown,T50反1凱基56購02
088596,Unknown,燿華凱基53購01
088598,Unknown,台光電凱基54購03
088599,Unknown,京元電凱基53購01
088607,Unknown,嘉澤凱基56購01
088610,Unknown,AES凱基55購01
088612,Unknown,南電凱基53購02
088614,Unknown,台塑元富54購01
088616,Unknown,楠梓電元富55購01
088619,Unknown,宏達電元富54購01
088621,Unknown,欣興元富59購01
088622,Unknown,世芯元富57購04
088627,Unknown,永道元富52購01
088628,Unknown,永道元富54購01
088630,Unknown,臺股指元富56購09
088631,Unknown,川湖國泰52購01
088632,Unknown,川湖國泰52購02
088633,Unknown,國巨國泰52購01
088634,Unknown,德律國泰52購01
088635,Unknown,鉅祥統一61購01
088636,Unknown,達興統一57購01
088637,Unknown,達興統一61購01
088638,Unknown,帆宣統一63購01
088639,Unknown,富世達統一61購01
088640,Unknown,廣宇中信52購01
088643,Unknown,台灣50永豐53購05
088645,Unknown,南亞永豐52購02
088647,Unknown,台積電永豐67購01
08864P,Unknown,神達群益52售02
088650,Unknown,微星永豐52購01
088651,Unknown,漢唐永豐52購03
088653,Unknown,建準永豐52購01
088654,Unknown,宏達電永豐52購01
088655,Unknown,奇鋐永豐57購03
088656,Unknown,帆宣永豐52購02
088660,Unknown,致茂兆豐52購01
088661,Unknown,文曄兆豐53購01
088663,Unknown,世芯兆豐53購03
088664,Unknown,順德富邦52購01
088665,Unknown,技嘉富邦53購01
088666,Unknown,宏達電富邦53購02
088667,Unknown,德律富邦52購01
088669,Unknown,日電貿富邦53購01
088670,Unknown,景碩富邦53購01
088671,Unknown,景碩富邦53購02
088672,Unknown,景碩富邦54購01
088673,Unknown,保瑞富邦54購01
088674,Unknown,富世達富邦54購01
088675,Unknown,寶成富邦53購01
088676,Unknown,楠梓電國票52購01
088677,Unknown,楠梓電國票52購02
