"date","code","name","sector","change_percent","total_score","liquidity","volatility","momentum","warnings"
"2025-09-19","2609","2609","unknown","1.7825","49.46","50","1.78","0.2152",""
"2025-09-19","2615","2615","unknown","0.7417","50","50","0.74","0.3741",""
"2025-09-22","2317","2317","unknown","0.9346","49.63","50","0.93","0.0058",""
"2025-09-22","2330","2330","unknown","2.3715","49.57","50","2.37","0.6433",""
"2025-09-22","2454","2454","unknown","-2.4306","48.18","50","2.43","-1.0656",""
"2025-09-22","2603","2603","unknown","-2.6525","48.95","50","2.65","0.0121",""
"2025-09-22","2609","2609","unknown","-2.1016","49.14","50","2.1","-0.0281",""
"2025-09-22","2615","2615","unknown","-2.6994","48.87","50","2.7","-0.0657",""
"2025-09-23","2317","2317","unknown","2.3148","49.49","50","2.31","0.515",""
"2025-09-23","2330","2330","unknown","3.4749","49.36","50","3.47","0.9398",""
"2025-09-23","2454","2454","unknown","-2.1352","47.41","50","2.14","-2.166",""
"2025-09-23","2603","2603","unknown","-0.8174","49.55","50","0.82","-0.1514",""
"2025-09-23","2609","2609","unknown","-1.2522","49.28","50","1.25","-0.2785",""
"2025-09-23","2615","2615","unknown","-1.7654","48.8","50","1.77","-0.6198",""
"2025-09-24","2317","2317","unknown","0.905","50.45","50","0.9","1.0209",""
"2025-09-24","2330","2330","unknown","0","50.94","50","0","1.1742",""
"2025-09-24","2454","2454","unknown","-3.2727","46.7","50","3.27","-2.4949",""
"2025-09-24","2603","2603","unknown","-0.8242","49.42","50","0.82","-0.3162",""
"2025-09-24","2609","2609","unknown","-0.3623","49.55","50","0.36","-0.3867",""
"2025-09-24","2615","2615","unknown","-1.4121","48.75","50","1.41","-0.8525",""
"2025-09-25","2317","2317","unknown","3.139","49.84","50","3.14","1.3657",""
"2025-09-25","2330","2330","unknown","-1.4925","49.85","50","1.49","0.5595",""
"2025-09-25","2454","2454","unknown","1.1278","47.73","50","1.13","-2.2693",""
"2025-09-25","2603","2603","unknown","-0.277","49.5","50","0.28","-0.4806",""
"2025-09-25","2609","2609","unknown","0","49.69","50","0","-0.3867",""
"2025-09-25","2615","2615","unknown","-0.7813","48.74","50","0.78","-1.1833",""
"2025-09-26","2317","2317","unknown","-4.5652","48.61","50","4.57","0.5456",""
"2025-09-26","2330","2330","unknown","-1.5152","49.85","50","1.52","0.5678",""
"2025-09-26","2454","2454","unknown","-2.6022","47.47","50","2.6","-1.8626",""
"2025-09-26","2603","2603","unknown","-1.1111","48.65","50","1.11","-1.1365",""
"2025-09-26","2609","2609","unknown","-3.0909","47.67","50","3.09","-1.3614",""
"2025-09-26","2615","2615","unknown","-2.6247","47.46","50","2.62","-1.8566",""
"2025-09-30","2317","2317","unknown","-1.5945","49.39","50","1.59","0.0398",""
"2025-09-30","2330","2330","unknown","0.3846","49.98","50","0.38","0.1704",""
"2025-09-30","2454","2454","unknown","0.3817","48.81","50","0.38","-1.3001",""
"2025-09-30","2603","2603","unknown","0.5618","49.38","50","0.56","-0.4936",""
"2025-09-30","2609","2609","unknown","-0.5629","48.93","50","0.56","-1.0537",""
"2025-09-30","2615","2615","unknown","0.1348","48.91","50","0.13","-1.2897",""
"2025-10-01","2317","2317","unknown","1.3889","49.33","50","1.39","-0.1454",""
"2025-10-01","2330","2330","unknown","1.5326","49.21","50","1.53","-0.2181",""
"2025-10-01","2454","2454","unknown","-2.2814","48.02","50","2.28","-1.3294",""
"2025-10-01","2603","2603","unknown","-0.838","49.27","50","0.84","-0.4977",""
"2025-10-01","2609","2609","unknown","-1.3208","48.62","50","1.32","-1.0674",""
"2025-10-01","2615","2615","unknown","-0.2692","49.1","50","0.27","-0.9905",""
"2025-10-02","2317","2317","unknown","2.968","49.03","50","2.97","0.2672",""
"2025-10-02","2330","2330","unknown","3.0189","49.1","50","3.02","0.3857",""
"2025-10-02","2454","2454","unknown","-0.3891","49.24","50","0.39","-0.7526",""
"2025-10-02","2603","2603","unknown","0","49.73","50","0","-0.3329",""
"2025-10-02","2609","2609","unknown","-1.5296","48.35","50","1.53","-1.3008",""
"2025-10-02","2615","2615","unknown","-1.0796","48.83","50","1.08","-0.924",""
"2025-10-03","2317","2317","unknown","0.4435","49.61","50","0.44","-0.2719",""
"2025-10-03","2330","2330","unknown","2.5641","49.93","50","2.56","1.197",""
"2025-10-03","2454","2454","unknown","3.125","48.47","50","3.12","-0.3532",""
"2025-10-03","2603","2603","unknown","1.6901","49.37","50","1.69","0.0606",""
"2025-10-03","2609","2609","unknown","0.9709","48.73","50","0.97","-1.1067",""
"2025-10-03","2615","2615","unknown","0.2728","49.32","50","0.27","-0.7132",""
"2025-10-07","2317","2317","unknown","0.883","50.3","50","0.88","0.8178",""
"2025-10-07","2330","2330","unknown","2.5","50.6","50","2.5","2",""
"2025-10-07","2454","2454","unknown","0.3788","50.04","50","0.38","0.243",""
