"date","code","name","sector","change_percent","total_score","liquidity","volatility","momentum","warnings"
"2026-01-28","2330","2330","unknown","2.2472","85","0","0","19.7368",""
"2026-01-28","2454","2454","unknown","0.2817","88","0","0","25.3521",""
"2026-01-28","2603","2603","unknown","2.6738","75","0","0","0.5236",""
"2026-01-28","2609","2609","unknown","1.6698","74","0","0","-2.6643",""
"2026-01-28","2615","2615","unknown","1.2162","47","0","0","-5.7862",""
"2026-01-29","2317","2317","unknown","-0.6652","49","0","0","-2.82",""
"2026-01-29","2330","2330","unknown","-0.8242","83","0","0","16.4516",""
"2026-01-29","2454","2454","unknown","0","87","0","0","24.4755",""
"2026-01-29","2603","2603","unknown","-1.0417","75","0","0","0",""
"2026-01-29","2609","2609","unknown","-0.1825","74","0","0","-1.7953",""
"2026-01-29","2615","2615","unknown","-0.8011","47","0","0","-5.7107",""
"2026-01-30","2317","2317","unknown","-1.5625","48","0","0","-4.9569",""
"2026-01-30","2330","2330","unknown","-1.662","81","0","0","11.9874",""
"2026-01-30","2454","2454","unknown","-1.1236","85","0","0","19.7279",""
"2026-01-30","2603","2603","unknown","-2.1053","73","0","0","-3.6269",""
"2026-01-30","2609","2609","unknown","-2.3766","73","0","0","-4.6429",""
"2026-01-30","2615","2615","unknown","-1.0767","46","0","0","-7.6633",""
"2026-02-02","2317","2317","unknown","-2.7211","46","0","0","-8.5288",""
"2026-02-02","2330","2330","unknown","-0.5634","78","0","0","5.6886",""
"2026-02-02","2454","2454","unknown","-3.125","81","0","0","11.8033",""
"2026-02-02","2603","2603","unknown","-1.0753","73","0","0","-3.1579",""
"2026-02-02","2609","2609","unknown","-2.0599","73","0","0","-4.7359",""
"2026-02-02","2615","2615","unknown","0","47","0","0","-6.25",""
"2026-02-03","2317","2317","unknown","0.9324","46","0","0","-8.2627",""
"2026-02-03","2330","2330","unknown","1.983","78","0","0","5.5718",""
"2026-02-03","2454","2454","unknown","5.2786","85","0","0","20.8754",""
"2026-02-03","2603","2603","unknown","0.5435","74","0","0","-2.3747",""
"2026-02-03","2609","2609","unknown","0.1912","72","0","0","-5.5856",""
"2026-02-03","2615","2615","unknown","0.1361","47","0","0","-5.8824",""
"2026-02-04","2317","2317","unknown","1.1547","46","0","0","-8.1761",""
"2026-02-04","2330","2330","unknown","-0.8333","78","0","0","6.5672",""
"2026-02-04","2454","2454","unknown","0.2786","85","0","0","20.8054",""
"2026-02-04","2603","2603","unknown","1.8919","73","0","0","-3.5806",""
"2026-02-04","2609","2609","unknown","0.7634","71","0","0","-8.3333",""
"2026-02-04","2615","2615","unknown","1.9022","47","0","0","-6.8323",""
"2026-02-05","2317","2317","unknown","-1.5982","47","0","0","-6.1002",""
"2026-02-05","2330","2330","unknown","-1.1204","77","0","0","4.7478",""
"2026-02-05","2454","2454","unknown","-1.6667","86","0","0","22.4913",""
"2026-02-05","2603","2603","unknown","-0.7958","73","0","0","-3.3592",""
"2026-02-05","2609","2609","unknown","0","72","0","0","-6.2167",""
"2026-02-05","2615","2615","unknown","-0.2667","47","0","0","-5.5555",""
"2026-02-06","2317","2317","unknown","-0.232","47","0","0","-6.7245",""
"2026-02-06","2330","2330","unknown","0.8499","78","0","0","5.9524",""
"2026-02-06","2454","2454","unknown","-3.3898","85","0","0","20.4225",""
"2026-02-06","2603","2603","unknown","0.2674","73","0","0","-3.1008",""
"2026-02-06","2609","2609","unknown","-1.1364","71","0","0","-7.1174",""
"2026-02-06","2615","2615","unknown","-1.2032","47","0","0","-6.6919",""
