date,open,high,low,close,volume,sma_fast,sma_slow,trend_gate,rsi,sig_buy,sig_sell
2025-02-03,1065.0,1075.0,1060.0,1070.0,97946226,1067.92,965.365,True,45.63576225920776,False,True
2025-02-04,1085.0,1100.0,1080.0,1095.0,53308108,1069.12,966.94,True,50.88495739490844,True,False
2025-02-05,1110.0,1120.0,1105.0,1110.0,40385340,1070.62,968.575,True,53.769293578140676,False,False
2025-02-06,1120.0,1120.0,1105.0,1115.0,29971252,1072.42,970.055,True,54.72376964370231,False,False
2025-02-07,1110.0,1125.0,1105.0,1125.0,27883220,1074.12,971.605,True,56.65140217089294,False,False
2025-02-10,1125.0,1125.0,1095.0,1105.0,28527108,1075.72,973.03,True,51.89283642750232,False,False
2025-02-11,1110.0,1115.0,1100.0,1110.0,18898928,1077.72,974.49,True,52.95670465411138,False,False
2025-02-12,1110.0,1115.0,1100.0,1100.0,24172954,1078.92,975.96,True,50.548988768840346,False,False
2025-02-13,1090.0,1095.0,1080.0,1090.0,33210403,1080.12,977.47,True,48.189482002392545,False,False
2025-02-14,1065.0,1070.0,1060.0,1060.0,64486940,1081.12,978.75,True,41.87459842195456,False,False
2025-02-17,1065.0,1085.0,1065.0,1085.0,35491271,1082.82,980.155,True,47.99098789660747,False,False
2025-02-18,1085.0,1100.0,1080.0,1100.0,21616188,1084.72,981.905,True,51.30211033985633,True,False
2025-02-19,1090.0,1095.0,1085.0,1090.0,26400293,1086.6,983.645,True,49.05970068330576,False,False
2025-02-20,1080.0,1085.0,1070.0,1080.0,29643124,1087.5,985.275,True,46.85417216883059,False,False
2025-02-21,1085.0,1095.0,1080.0,1095.0,28972910,1088.3,986.835,True,50.45238215454363,True,False
2025-02-24,1080.0,1085.0,1075.0,1075.0,30822970,1088.4,988.38,True,45.98215052637865,False,False
2025-02-25,1055.0,1060.0,1050.0,1055.0,45158522,1088.0,989.745,True,41.97678457032215,False,False
2025-02-26,1045.0,1060.0,1045.0,1060.0,36768449,1087.9,991.07,True,43.30635693760304,False,False
2025-02-27,1065.0,1065.0,1040.0,1040.0,55283596,1087.2,992.32,True,39.415690470439365,False,False
2025-03-03,1000.0,1020.0,1000.0,1020.0,65621663,1086.3,993.56,True,35.93858395125065,False,False
2025-03-04,996.0,1010.0,996.0,1000.0,64569262,1085.4,994.66,True,32.82055947653585,False,False
2025-03-05,1020.0,1030.0,1015.0,1020.0,41994320,1084.6,995.83,True,38.56102609771863,False,False
2025-03-06,1020.0,1025.0,1005.0,1005.0,45187017,1083.4,996.855,True,36.071477053797096,False,False
2025-03-07,1005.0,1010.0,1000.0,1005.0,40822280,1081.8,997.87,True,36.071477053797096,False,False
2025-03-10,1005.0,1005.0,992.0,998.0,46849886,1080.26,998.88,False,34.85362046570502,False,False
2025-03-11,969.0,979.0,963.0,971.0,50204233,1077.98,999.725,False,30.56682327677504,False,False
2025-03-12,980.0,995.0,976.0,988.0,34184887,1076.34,1000.57,False,35.91165386807995,False,False
2025-03-13,1000.0,1005.0,965.0,965.0,37035693,1074.94,1001.27,False,32.290062904363054,False,False
2025-03-14,965.0,969.0,955.0,959.0,34333748,1072.52,1001.87,False,31.400436280919536,False,False
2025-03-17,977.0,985.0,968.0,970.0,31491061,1070.32,1002.515,False,34.939453729657714,False,False
2025-03-18,976.0,978.0,968.0,971.0,21575327,1068.04,1003.195,False,35.266405034204496,False,False
2025-03-19,965.0,967.0,950.0,952.0,35245036,1065.38,1003.78,False,31.97820839017531,False,False
2025-03-20,978.0,985.0,971.0,985.0,28715956,1063.28,1004.5,False,42.07944071353933,False,False
2025-03-21,985.0,987.0,970.0,972.0,39214916,1060.92,1005.04,False,39.585551866988695,False,False
2025-03-24,986.0,987.0,972.0,972.0,16121506,1058.86,1005.525,False,39.585551866988695,False,False
2025-03-25,989.0,995.0,985.0,990.0,26167428,1057.36,1006.14,False,44.835613989749746,False,False
2025-03-26,995.0,995.0,980.0,980.0,21735917,1055.46,1006.695,False,42.619732510508356,False,False
2025-03-27,961.0,964.0,958.0,958.0,34563256,1052.12,1007.16,False,38.15235990608875,False,False
2025-03-28,946.0,955.0,946.0,952.0,33101234,1048.56,1007.635,False,37.012877663424916,False,False
2025-03-31,920.0,924.0,910.0,910.0,51064611,1044.66,1007.995,False,30.21093399692046,False,False
2025-04-01,929.0,946.0,925.0,944.0,32197752,1041.54,1008.61,False,39.84799478691507,False,False
2025-04-02,949.0,952.0,938.0,942.0,24849656,1038.38,1009.09,False,39.50244001349383,False,False
2025-04-07,848.0,848.0,848.0,848.0,23820773,1033.84,1009.135,False,27.452693182866753,False,False
2025-04-08,797.0,843.0,797.0,816.0,116648736,1028.36,1008.945,False,24.691434296783783,False,False
2025-04-09,809.0,826.0,780.0,785.0,107582838,1022.76,1008.4,False,22.346512694256816,False,False
2025-04-10,863.0,863.0,863.0,863.0,19416428,1017.92,1008.32,False,38.239641692668215,False,False
2025-04-11,848.0,889.0,836.0,889.0,76103586,1013.3,1008.35,False,42.46663580253896,False,False
2025-04-14,895.0,903.0,865.0,865.0,66326054,1008.2,1008.13,False,39.7613944367306,False,False
2025-04-15,874.0,879.0,865.0,877.0,30562095,1003.34,1007.92,False,41.7591420195452,False,False
2025-04-16,867.0,869.0,852.0,855.0,42128082,997.74,1007.585,False,39.19289107344444,False,False
2025-04-17,849.0,856.0,842.0,847.0,33684502,993.28,1007.215,False,38.27184999388776,False,False
2025-04-18,853.0,858.0,850.0,850.0,20101219,988.38,1006.75,False,38.85217153279568,False,False
